@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
3128,'2018/11/05 19:08:57:996',13,0.173228,0.88189,0.17,0.4,0.35
3129,'2018/11/05 19:08:58:016',13,0.149606,0.88189,0.17,0.4,0.35
3130,'2018/11/05 19:08:58:036',13,0.133858,0.88189,0.17,0.4,0.35
3131,'2018/11/05 19:08:58:056',13,0.11811,0.84252,0.17,0.4,0.35
3132,'2018/11/05 19:08:58:080',13,0.11811,0.779528,0.17,0.4,0.35
3133,'2018/11/05 19:08:58:096',13,0.11811,0.740157,0.17,0.4,0.35
3134,'2018/11/05 19:08:58:116',13,0.11811,0.700787,0.17,0.4,0.35
3135,'2018/11/05 19:08:58:136',13,0.133858,0.669291,0.17,0.4,0.35
3136,'2018/11/05 19:08:58:156',13,0.149606,0.645669,0.17,0.4,0.35
3137,'2018/11/05 19:08:58:179',13,0.188976,0.645669,0.17,0.4,0.35
3138,'2018/11/05 19:08:58:196',13,0.212598,0.637795,0.17,0.4,0.35
3139,'2018/11/05 19:08:58:216',13,0.244094,0.637795,0.17,0.4,0.35
3140,'2018/11/05 19:08:58:236',13,0.251969,0.645669,0.17,0.4,0.35
3141,'2018/11/05 19:08:58:256',13,0.267717,0.677165,0.17,0.4,0.35
3142,'2018/11/05 19:08:58:277',13,0.267717,0.716535,0.17,0.4,0.35
3143,'2018/11/05 19:08:58:296',13,0.244094,0.787402,0.17,0.4,0.35
3144,'2018/11/05 19:08:58:316',13,0.220472,0.834646,0.17,0.4,0.35
3145,'2018/11/05 19:08:58:336',13,0.181102,0.88189,0.17,0.4,0.35
3146,'2018/11/05 19:08:58:356',13,0.15748,0.905512,0.17,0.4,0.35
3147,'2018/11/05 19:08:58:376',13,0.141732,0.905512,0.17,0.4,0.35
3148,'2018/11/05 19:08:58:396',13,0.133858,0.905512,0.17,0.4,0.35
3149,'2018/11/05 19:08:58:416',13,0.11811,0.905512,0.17,0.4,0.35
3150,'2018/11/05 19:08:58:436',13,0.11811,0.897638,0.17,0.4,0.35
3151,'2018/11/05 19:08:58:456',13,0.102362,0.88189,0.17,0.4,0.35
3152,'2018/11/05 19:08:58:478',13,0.102362,0.850394,0.17,0.4,0.35
3153,'2018/11/05 19:08:58:496',13,0.094488,0.834646,0.17,0.4,0.35
3154,'2018/11/05 19:08:58:516',13,0.094488,0.834646,0.17,0.4,0.35
3155,'2018/11/05 19:08:58:536',13,0.094488,0.826772,0.17,0.4,0.35
3156,'2018/11/05 19:08:58:556',13,0.094488,0.826772,0.17,0.4,0.35
3157,'2018/11/05 19:08:58:576',13,0.094488,0.826772,0.17,0.4,0.35
3158,'2018/11/05 19:08:58:596',13,0.094488,0.826772,0.17,0.4,0.35
3159,'2018/11/05 19:08:58:616',13,0.094488,0.826772,0.17,0.4,0.35
3160,'2018/11/05 19:08:58:639',13,0.094488,0.826772,0.17,0.4,0.35
3161,'2018/11/05 19:08:58:656',13,0.094488,0.826772,0.17,0.4,0.35
3162,'2018/11/05 19:08:58:676',13,0.094488,0.826772,0.17,0.4,0.35
3163,'2018/11/05 19:08:58:696',13,0.094488,0.826772,0.17,0.4,0.35
3164,'2018/11/05 19:08:58:716',13,0.094488,0.826772,0.17,0.4,0.35
3165,'2018/11/05 19:08:58:736',13,0.094488,0.826772,0.17,0.4,0.35
3166,'2018/11/05 19:08:58:756',13,0.094488,0.826772,0.17,0.4,0.35
3167,'2018/11/05 19:08:58:778',13,0.094488,0.826772,0.17,0.4,0.35
3168,'2018/11/05 19:08:58:796',13,0.094488,0.826772,0.17,0.4,0.35
3169,'2018/11/05 19:08:58:816',13,0.094488,0.826772,0.17,0.4,0.35
3170,'2018/11/05 19:08:58:836',13,0.094488,0.826772,0.17,0.4,0.35
3171,'2018/11/05 19:08:58:856',13,0.094488,0.826772,0.17,0.4,0.35
3172,'2018/11/05 19:08:58:876',13,0.094488,0.826772,0.17,0.4,0.35
3173,'2018/11/05 19:08:58:896',13,0.094488,0.826772,0.17,0.4,0.35
3174,'2018/11/05 19:08:58:916',13,0.094488,0.826772,0.17,0.4,0.35
3175,'2018/11/05 19:08:58:936',13,0.094488,0.826772,0.17,0.4,0.35
3176,'2018/11/05 19:08:58:956',13,0.094488,0.826772,0.17,0.4,0.35
3177,'2018/11/05 19:08:58:976',13,0.094488,0.826772,0.17,0.4,0.35
3178,'2018/11/05 19:08:58:996',13,0.094488,0.826772,0.17,0.4,0.35
3179,'2018/11/05 19:08:59:016',13,0.094488,0.826772,0.17,0.4,0.35
3180,'2018/11/05 19:08:59:036',13,0.094488,0.826772,0.17,0.4,0.35
3181,'2018/11/05 19:08:59:056',13,0.094488,0.826772,0.17,0.4,0.35
3182,'2018/11/05 19:08:59:076',13,0.094488,0.826772,0.17,0.4,0.35
3183,'2018/11/05 19:08:59:096',13,0.094488,0.826772,0.17,0.4,0.35
3184,'2018/11/05 19:08:59:116',13,0.094488,0.826772,0.17,0.4,0.35
3185,'2018/11/05 19:08:59:136',13,0.094488,0.826772,0.17,0.4,0.35
