@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
39,'2018/11/05 19:17:35:509',1,0.009022,0.017112,0.009807,0.006689,0.00812,0.002456,0.001783,0.003042,0.002899,0.002938,0.002809,0.001054,0.001101,0.001862,0.001212,0.000837,0.000607,0.000695,0.00046,0.000424,0.000331,0.000237,0.000306,0.000305,0.00017,1
40,'2018/11/05 19:17:35:520',1,0.007087,0.019102,0.011241,0.00554,0.00651,0.002684,0.00325,0.002041,0.002408,0.001946,0.002449,0.001806,0.001733,0.00149,0.001453,0.000839,0.000676,0.000628,0.000441,0.00034,0.000317,0.000261,0.000352,0.000325,0.000219,1
41,'2018/11/05 19:17:35:532',1,0.005989,0.020556,0.014506,0.008084,0.005608,0.004106,0.005693,0.003593,0.003113,0.002493,0.002187,0.001413,0.001711,0.001689,0.001334,0.000815,0.000577,0.000522,0.000376,0.000312,0.000327,0.000279,0.000267,0.000301,0.000196,1
42,'2018/11/05 19:17:35:544',1,0.002644,0.012743,0.013415,0.006598,0.007939,0.004187,0.004578,0.003895,0.003749,0.003057,0.00308,0.001765,0.001678,0.001547,0.00123,0.000805,0.000602,0.000553,0.000546,0.000321,0.000368,0.000271,0.000241,0.000306,0.000171,1
43,'2018/11/05 19:17:35:556',1,0.005595,0.019353,0.020906,0.011177,0.007209,0.002527,0.002909,0.003254,0.002999,0.002542,0.002137,0.001921,0.002045,0.001253,0.001286,0.000736,0.000692,0.000679,0.000504,0.0003,0.000306,0.000271,0.000262,0.000304,0.000174,1
44,'2018/11/05 19:17:35:567',1,0.005228,0.017117,0.024533,0.010036,0.005965,0.004146,0.002574,0.004,0.003417,0.003675,0.001956,0.00162,0.002491,0.001059,0.000947,0.000644,0.000724,0.000681,0.000459,0.000395,0.000266,0.000293,0.000265,0.000311,0.000142,1
45,'2018/11/05 19:17:35:579',1,0.001724,0.016356,0.01592,0.00718,0.007402,0.004138,0.003788,0.004145,0.001725,0.003085,0.001638,0.00148,0.001966,0.001258,0.001165,0.000756,0.000807,0.000574,0.00054,0.000477,0.000306,0.000282,0.000244,0.00028,0.000193,1
46,'2018/11/05 19:17:35:590',1,0.003084,0.010557,0.015416,0.009716,0.006668,0.005123,0.005439,0.002375,0.003078,0.001938,0.002168,0.002431,0.002084,0.001442,0.001241,0.000977,0.000568,0.000418,0.000466,0.000464,0.000342,0.000281,0.000236,0.000259,0.000209,1
47,'2018/11/05 19:17:35:602',1,0.007852,0.010441,0.013927,0.007551,0.006894,0.006287,0.004258,0.003125,0.002443,0.00181,0.001549,0.001737,0.001518,0.001353,0.001186,0.00093,0.000642,0.000538,0.000327,0.000361,0.000407,0.00031,0.000238,0.000275,0.00017,1
48,'2018/11/05 19:17:35:613',1,0.007855,0.011914,0.013476,0.007566,0.005524,0.005331,0.003691,0.003484,0.002032,0.002546,0.001854,0.001253,0.00147,0.001859,0.001197,0.000825,0.000743,0.000437,0.00037,0.000365,0.000376,0.000337,0.000256,0.000285,0.000178,1
49,'2018/11/05 19:17:35:625',1,0.006045,0.011438,0.015497,0.011352,0.005886,0.004071,0.006933,0.005982,0.002783,0.003649,0.001618,0.001483,0.001409,0.001851,0.001404,0.000563,0.000629,0.00052,0.000394,0.000359,0.000286,0.000294,0.000236,0.000306,0.000181,1
